start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,271,32371
2019-06-02,2019-06-09,663,90648
2019-06-09,2019-06-16,578,87233
2019-06-16,2019-06-23,617,83368
2019-06-23,2019-06-30,626,92274
2019-06-30,2019-07-07,579,89811
2019-07-07,2019-07-14,649,83034
2019-07-14,2019-07-21,616,78482
2019-07-21,2019-07-28,588,86130
2019-07-28,2019-08-04,579,126080
2019-08-04,2019-08-11,616,109310
2019-08-11,2019-08-18,760,120073
2019-08-18,2019-08-25,587,118358
2019-08-25,2019-09-01,651,124818
2019-09-01,2019-09-08,625,106830
2019-09-08,2019-09-15,825,121441
2019-09-15,2019-09-22,189,124662
2019-09-22,2019-09-29,1000,144276
2019-09-29,2019-10-06,1000,189414
2019-10-06,2019-10-13,1000,194179
2019-10-13,2019-10-20,0,185856
2019-10-20,2019-10-27,1000,229934
2019-10-27,2019-11-03,1000,165506
2019-11-03,2019-11-10,1000,155544
2019-11-10,2019-11-17,0,169070
2019-11-17,2019-11-24,1000,149264
2019-11-24,2019-12-01,1000,162525
2019-12-01,2019-12-08,0,125236
2019-12-08,2019-12-15,1000,111716
2019-12-15,2019-12-22,1000,112503
2019-12-22,2019-12-29,1000,165984
2019-12-29,2020-01-05,0,144284
2020-01-05,2020-01-12,0,133801
2020-01-12,2020-01-19,0,114153
2020-01-19,2020-01-26,1000,122503
2020-01-26,2020-02-02,1000,174330
2020-02-02,2020-02-09,1000,156992
2020-02-09,2020-02-16,1000,156521
2020-02-16,2020-02-23,1000,175928
2020-02-23,2020-03-01,1000,190533
2020-03-01,2020-03-08,1000,197925
2020-03-08,2020-03-15,1000,188906
2020-03-15,2020-03-22,2000,193730
2020-03-22,2020-03-29,1000,165286
2020-03-29,2020-04-05,2000,169757
2020-04-05,2020-04-12,1000,165165
2020-04-12,2020-04-19,1000,217191
2020-04-19,2020-04-26,1000,205646
2020-04-26,2020-05-03,1000,162225
2020-05-03,2020-05-10,1000,171450
2020-05-10,2020-05-17,1000,170322
2020-05-17,2020-05-24,1000,178618
2020-05-24,2020-05-31,1000,160049
2020-05-31,2020-06-07,1000,120208
2020-06-07,2020-06-14,1000,143440
2020-06-14,2020-06-21,0,147775
2020-06-21,2020-06-28,0,194636
2020-06-28,2020-07-05,1000,168018
2020-07-05,2020-07-12,1000,142597
2020-07-12,2020-07-19,1000,2342679
2020-07-19,2020-07-26,1000,137588
2020-07-26,2020-08-02,0,128219
2020-08-02,2020-08-09,1000,111042
2020-08-09,2020-08-16,1000,118105
2020-08-16,2020-08-23,1000,129860
2020-08-23,2020-08-30,1000,125277
2020-08-30,2020-09-06,1000,149182
2020-09-06,2020-09-13,1000,163940
2020-09-13,2020-09-20,1000,194592
2020-09-20,2020-09-27,1000,187438
2020-09-27,2020-10-04,1000,202344
2020-10-04,2020-10-11,1000,214769
2020-10-11,2020-10-18,1000,168112
2020-10-18,2020-10-25,1000,159541
2020-10-25,2020-11-01,1000,141089
2020-11-01,2020-11-08,0,149372
2020-11-08,2020-11-15,1000,149620
2020-11-15,2020-11-22,0,144867
2020-11-22,2020-11-29,1000,162943
2020-11-29,2020-12-06,1000,110159
2020-12-06,2020-12-13,1000,121112
2020-12-13,2020-12-20,0,137158
2020-12-20,2020-12-27,1000,140325
2020-12-27,2021-01-03,0,146288
2021-01-03,2021-01-10,0,141014
2021-01-10,2021-01-17,1000,128337
2021-01-17,2021-01-24,1000,131641
2021-01-24,2021-01-31,1000,118964
2021-01-31,2021-02-07,1000,119601
2021-02-07,2021-02-14,1000,444541
2021-02-14,2021-02-21,1000,106801
2021-02-21,2021-02-28,1000,138406
2021-02-28,2021-03-07,1000,135514
2021-03-07,2021-03-14,1000,132135
2021-03-14,2021-03-21,0,120700
2021-03-21,2021-03-28,1000,119223
2021-03-28,2021-04-04,1000,110145
2021-04-04,2021-04-11,0,118469
2021-04-11,2021-04-18,1000,119551
2021-04-18,2021-04-25,0,125252
2021-04-25,2021-05-02,1000,118637
2021-05-02,2021-05-09,1000,84044
2021-05-09,2021-05-16,0,108466
2021-05-16,2021-05-23,1000,90219
2021-05-23,2021-05-30,0,74973
2021-05-30,2021-06-06,0,71242
2021-06-06,2021-06-13,0,75901
2021-06-13,2021-06-20,1000,83581
2021-06-20,2021-06-27,0,77093
2021-06-27,2021-07-04,1000,97533
2021-07-04,2021-07-11,0,97074
2021-07-11,2021-07-18,1000,112543
2021-07-18,2021-07-25,0,95647
2021-07-25,2021-08-01,1000,100786
2021-08-01,2021-08-08,0,99549
2021-08-08,2021-08-15,1000,106200
2021-08-15,2021-08-22,0,105527
2021-08-22,2021-08-29,0,102587
2021-08-29,2021-09-05,1000,128848
2021-09-05,2021-09-12,0,113286
2021-09-12,2021-09-19,1000,115639
2021-09-19,2021-09-26,0,125333
2021-09-26,2021-10-03,0,141763
2021-10-03,2021-10-10,1000,112787
2021-10-10,2021-10-17,1000,109763
2021-10-17,2021-10-24,0,103470
2021-10-24,2021-10-31,1000,102178
2021-10-31,2021-11-07,0,118083
2021-11-07,2021-11-14,1000,87088
2021-11-14,2021-11-21,0,99061
2021-11-21,2021-11-28,1000,93632
2021-11-28,2021-12-05,0,110603
2021-12-05,2021-12-12,0,103759
2021-12-12,2021-12-19,1000,104496
2021-12-19,2021-12-26,0,98200
2021-12-26,2022-01-02,1000,123238
2022-01-02,2022-01-09,0,103019
2022-01-09,2022-01-16,0,103662
2022-01-16,2022-01-23,1000,90811
2022-01-23,2022-01-30,0,111223
2022-01-30,2022-02-06,1000,114383
2022-02-06,2022-02-13,0,104418
2022-02-13,2022-02-20,1000,90567
2022-02-20,2022-02-27,0,117632
2022-02-27,2022-03-06,1000,108754
2022-03-06,2022-03-13,0,547032
2022-03-13,2022-03-20,0,108582
2022-03-20,2022-03-27,0,125914
2022-03-27,2022-04-03,0,127042
2022-04-03,2022-04-10,1000,105159
2022-04-10,2022-04-17,0,101853
