start_date,end_date,weekly_subscribers,weekly_views
2019-04-09,2019-04-16,197,43295
2019-04-14,2019-04-21,268,55728
2019-04-22,2019-04-29,192,40876
2019-04-28,2019-05-05,368,-192116
2019-05-06,2019-05-13,134,31036
2019-05-13,2019-05-20,252,60169
2019-05-19,2019-05-26,297,60806
2019-05-26,2019-06-02,269,59462
2019-06-02,2019-06-09,249,55557
2019-06-09,2019-06-16,239,58729
2019-06-16,2019-06-23,260,64002
2019-06-23,2019-06-30,529,55868
2019-06-30,2019-07-07,378,61719
2019-07-07,2019-07-14,347,52973
2019-07-14,2019-07-21,307,48929
2019-07-21,2019-07-28,517,54678
2019-07-28,2019-08-04,448,65266
2019-08-04,2019-08-11,490,88185
2019-08-12,2019-08-19,433,78619
2019-08-18,2019-08-25,475,89676
2019-08-25,2019-09-01,344,70848
2019-09-01,2019-09-08,-431,85391
2019-09-08,2019-09-15,0,70904
2019-09-15,2019-09-22,0,135291
2019-09-22,2019-09-29,1000,277857
2019-09-29,2019-10-06,0,233982
2019-10-06,2019-10-13,1000,226245
2019-10-13,2019-10-20,0,206593
2019-10-20,2019-10-27,0,234305
2019-10-27,2019-11-03,1000,131460
2019-11-03,2019-11-10,0,237800
2019-11-10,2019-11-17,1000,117635
2019-11-17,2019-11-24,1000,81543
2019-11-24,2019-12-01,1000,58166
2019-12-01,2019-12-08,-1000,64922
2019-12-08,2019-12-15,0,58065
2019-12-15,2019-12-22,0,45050
2019-12-22,2019-12-29,1000,25097
2019-12-29,2020-01-05,0,33562
2020-01-05,2020-01-12,0,57369
2020-01-12,2020-01-19,0,63700
2020-01-19,2020-01-26,0,84258
2020-01-26,2020-02-02,1000,197160
2020-02-02,2020-02-09,0,124214
2020-02-09,2020-02-16,1000,196192
2020-02-16,2020-02-23,1000,77659
2020-02-23,2020-03-01,0,200870
2020-03-01,2020-03-08,1000,73939
2020-03-08,2020-03-15,0,154646
2020-03-15,2020-03-22,0,65820
2020-03-22,2020-03-29,1000,82961
2020-03-29,2020-04-05,0,114737
2020-04-05,2020-04-12,0,212081
2020-04-12,2020-04-19,1000,218824
2020-04-19,2020-04-26,1000,119572
2020-04-26,2020-05-03,0,169001
2020-05-03,2020-05-10,0,155022
2020-05-10,2020-05-17,1000,160251
2020-05-17,2020-05-24,0,230171
2020-05-24,2020-05-31,1000,124425
2020-05-31,2020-06-07,1000,148279
2020-06-07,2020-06-14,0,170198
2020-06-14,2020-06-21,0,200814
2020-06-21,2020-06-28,1000,84102
2020-06-28,2020-07-05,0,68077
2020-07-05,2020-07-12,1000,179319
2020-07-12,2020-07-19,0,143611
2020-07-19,2020-07-26,0,122449
2020-07-26,2020-08-02,1000,112122
2020-08-02,2020-08-09,0,206929
2020-08-09,2020-08-16,0,160879
2020-08-16,2020-08-23,1000,221078
2020-08-23,2020-08-30,0,158228
2020-08-30,2020-09-06,0,137706
2020-09-06,2020-09-13,1000,170837
2020-09-13,2020-09-20,1000,130424
2020-09-20,2020-09-27,1000,147136
2020-09-27,2020-10-04,0,105666
2020-10-04,2020-10-11,0,188601
2020-10-11,2020-10-18,0,382594
2020-10-18,2020-10-25,1000,377608
2020-10-25,2020-11-01,0,109234
2020-11-01,2020-11-08,1000,156882
2020-11-08,2020-11-15,0,132270
2020-11-15,2020-11-22,1000,112963
2020-11-22,2020-11-29,0,69603
2020-11-29,2020-12-06,1000,83461
2020-12-06,2020-12-13,0,88367
2020-12-13,2020-12-20,1000,63987
2020-12-20,2020-12-27,1000,29824
2020-12-27,2021-01-03,0,32353
2021-01-03,2021-01-10,0,70949
2021-01-10,2021-01-17,1000,134819
2021-01-17,2021-01-24,0,73760
2021-01-24,2021-01-31,1000,127116
2021-01-31,2021-02-07,1000,168816
2021-02-07,2021-02-14,0,128820
2021-02-14,2021-02-21,1000,135422
2021-02-21,2021-02-28,0,275475
2021-02-28,2021-03-07,1000,148980
2021-03-07,2021-03-14,0,170142
2021-03-14,2021-03-21,0,94703
2021-03-21,2021-03-28,1000,131382
2021-03-28,2021-04-04,0,103124
2021-04-04,2021-04-11,1000,172475
2021-04-11,2021-04-18,0,176392
2021-04-18,2021-04-25,1000,112621
2021-04-25,2021-05-02,0,164023
2021-05-02,2021-05-09,1000,76812
2021-05-09,2021-05-16,0,141307
2021-05-16,2021-05-23,1000,77525
2021-05-23,2021-05-30,0,108009
2021-05-30,2021-06-06,1000,149914
2021-06-06,2021-06-13,0,101001
2021-06-13,2021-06-20,1000,43146
2021-06-20,2021-06-27,0,70173
2021-06-27,2021-07-04,1000,64644
