start_date,end_date,weekly_subscribers,weekly_views
2019-04-10,2019-04-17,62,14397
2019-04-14,2019-04-21,74,39791
2019-04-21,2019-04-28,66,36829
2019-04-29,2019-05-06,82,26924
2019-05-05,2019-05-12,46,23065
2019-05-13,2019-05-20,107,31395
2019-05-20,2019-05-27,73,27414
2019-05-26,2019-06-02,85,32638
2019-06-02,2019-06-09,112,31644
2019-06-09,2019-06-16,91,26689
2019-06-16,2019-06-23,110,24323
2019-06-23,2019-06-30,466,22726
2019-06-30,2019-07-07,184,22362
2019-07-07,2019-07-14,144,22276
2019-07-14,2019-07-21,150,23525
2019-07-21,2019-07-28,323,25256
2019-07-28,2019-08-04,179,24803
2019-08-05,2019-08-12,107,27955
2019-08-11,2019-08-18,178,43106
2019-08-18,2019-08-25,180,61692
2019-08-25,2019-09-01,200,68438
2019-09-02,2019-09-09,200,64288
2019-09-09,2019-09-16,200,63699
2019-09-15,2019-09-22,200,75214
2019-09-22,2019-09-29,200,78612
2019-09-29,2019-10-06,200,67181
2019-10-06,2019-10-13,200,89124
2019-10-13,2019-10-20,200,121020
2019-10-20,2019-10-27,300,67946
2019-10-27,2019-11-03,200,55269
2019-11-03,2019-11-10,200,63242
2019-11-10,2019-11-17,300,57993
2019-11-17,2019-11-24,200,48237
2019-11-24,2019-12-01,1000,19966
2019-12-08,2019-12-15,100,48198
2019-12-15,2019-12-22,0,35646
2019-12-22,2019-12-29,0,24257
2019-12-29,2020-01-05,0,4942
2020-01-05,2020-01-12,300,13267
2020-01-12,2020-01-19,200,28390
2020-01-19,2020-01-26,200,44358
2020-01-26,2020-02-02,200,36915
2020-02-02,2020-02-09,200,48205
2020-02-09,2020-02-16,500,51600
2020-02-16,2020-02-23,200,52126
2020-02-23,2020-03-01,500,42861
2020-03-01,2020-03-08,400,48564
2020-03-08,2020-03-15,300,42691
2020-03-15,2020-03-22,400,41040
2020-03-22,2020-03-29,500,72364
2020-03-29,2020-04-05,600,91468
2020-04-05,2020-04-12,600,136697
2020-04-12,2020-04-19,800,94271
2020-04-19,2020-04-26,700,117918
2020-04-26,2020-05-03,500,107003
2020-05-03,2020-05-10,700,85466
2020-05-10,2020-05-17,1300,102443
2020-05-17,2020-05-24,600,109360
