start_date,end_date,weekly_subscribers,weekly_views
2019-05-30,2019-06-06,6397,1196953
2019-06-02,2019-06-09,15619,3400080
2019-06-09,2019-06-16,24201,6922121
2019-06-16,2019-06-23,17865,4083476
2019-06-23,2019-06-30,13334,3276963
2019-06-30,2019-07-07,8101,2504323
2019-07-07,2019-07-14,9338,2665912
2019-07-14,2019-07-21,10397,2663222
2019-07-21,2019-07-28,9788,2767228
2019-07-28,2019-08-04,8075,2645303
2019-08-04,2019-08-11,11866,3220556
2019-08-11,2019-08-18,7303,2988262
2019-08-18,2019-08-25,6448,2072471
2019-08-25,2019-09-01,4516,1964153
2019-09-01,2019-09-08,4996,2321118
2019-09-08,2019-09-15,2333,2210448
2019-09-15,2019-09-22,-330,1587728
2019-09-22,2019-09-29,0,1161507
2019-09-29,2019-10-06,0,1032418
2019-10-06,2019-10-13,0,1081692
2019-10-13,2019-10-20,0,1267435
2019-10-20,2019-10-27,0,1315256
2019-10-27,2019-11-03,0,1355601
2019-11-03,2019-11-10,0,1523024
2019-11-10,2019-11-17,10000,2082046
2019-11-17,2019-11-24,0,2039145
2019-11-24,2019-12-01,10000,2178379
2019-12-01,2019-12-08,-20000,2059160
2019-12-08,2019-12-15,0,1554499
2019-12-15,2019-12-22,0,1828349
2019-12-22,2019-12-29,0,2288541
2019-12-29,2020-01-05,10000,2981881
2020-01-05,2020-01-12,10000,2412230
2020-01-12,2020-01-19,0,1898693
2020-01-19,2020-01-26,0,1647859
2020-01-26,2020-02-02,0,1654668
2020-02-02,2020-02-09,0,1721120
2020-02-09,2020-02-16,0,1785345
2020-02-16,2020-02-23,0,1462484
2020-02-23,2020-03-01,0,1426673
2020-03-01,2020-03-08,0,1411473
2020-03-08,2020-03-15,0,1282288
2020-03-15,2020-03-22,0,1513079
2020-03-22,2020-03-29,0,6507051
2020-03-29,2020-04-05,0,5917499
2020-04-05,2020-04-12,-10000,5205510
2020-04-12,2020-04-19,-10000,4750473
2020-04-19,2020-04-26,0,2954578
2020-04-26,2020-05-03,0,1977608
2020-05-03,2020-05-10,0,1667219
2020-05-10,2020-05-17,0,1383319
2020-05-17,2020-05-24,30000,12743890
2020-05-24,2020-05-31,0,7252244
2020-05-31,2020-06-07,-10000,4492238
2020-06-07,2020-06-14,0,1913310
2020-06-14,2020-06-21,-10000,1136143
2020-06-21,2020-06-28,0,946809
2020-06-28,2020-07-05,0,-2023666
2020-07-05,2020-07-12,-10000,848119
2020-07-12,2020-07-19,0,757306
2020-07-19,2020-07-26,0,693522
2020-07-26,2020-08-02,-10000,765567
2020-08-02,2020-08-09,0,3097462
2020-08-09,2020-08-16,-10000,1877520
2020-08-16,2020-08-23,0,1227731
2020-08-23,2020-08-30,0,963144
2020-08-30,2020-09-06,-10000,835851
2020-09-06,2020-09-13,0,800358
2020-09-13,2020-09-20,-10000,723340
2020-09-20,2020-09-27,0,840222
2020-09-27,2020-10-04,0,941880
2020-10-04,2020-10-11,0,1100807
2020-10-11,2020-10-18,-10000,903876
2020-10-18,2020-10-25,0,740088
2020-10-25,2020-11-01,-10000,651713
2020-11-01,2020-11-08,0,645433
2020-11-08,2020-11-15,-10000,699859
2020-11-15,2020-11-22,0,684527
2020-11-22,2020-11-29,0,637046
2020-11-29,2020-12-06,-10000,619249
2020-12-06,2020-12-13,0,650062
2020-12-13,2020-12-20,-10000,741788
2020-12-20,2020-12-27,0,703168
2020-12-27,2021-01-03,-10000,712420
2021-01-03,2021-01-10,0,665148
2021-01-10,2021-01-17,0,653505
2021-01-17,2021-01-24,0,693677
2021-01-24,2021-01-31,0,798246
2021-01-31,2021-02-07,0,847040
2021-02-07,2021-02-14,-10000,780938
2021-02-14,2021-02-21,0,757943
2021-02-21,2021-02-28,0,742278
2021-02-28,2021-03-07,0,734188
2021-03-07,2021-03-14,-10000,722550
2021-03-14,2021-03-21,0,681175
2021-03-21,2021-03-28,0,839481
2021-03-28,2021-04-04,-10000,855738
2021-04-04,2021-04-11,0,774814
2021-04-11,2021-04-18,0,761126
2021-04-18,2021-04-25,0,458677
2021-04-25,2021-05-02,-10000,603738
2021-05-02,2021-05-09,0,611119
2021-05-09,2021-05-16,0,571327
2021-05-16,2021-05-23,-10000,494046
2021-05-23,2021-05-30,0,467994
2021-05-30,2021-06-06,0,444517
2021-06-06,2021-06-13,0,475038
2021-06-13,2021-06-20,0,562266
2021-06-20,2021-06-27,-10000,630512
2021-06-27,2021-07-04,0,476721
2021-07-04,2021-07-11,0,412493
2021-07-11,2021-07-18,-10000,453222
2021-07-18,2021-07-25,0,467128
2021-07-25,2021-08-01,0,428348
